Member_ID,FIRST_NAME,LAST_NAME,GENDER,BIRTHDATE,Age_Range,Generation,MOBILE_NO,UUID,Total_point,FirstPurchaseDate
M000001,John,Lopez,M,1988-11-09,35-44,Millennial,0839958838,28728463-2679,8935,2021-10-14
M000002,John,Johnson,M,1992-11-14,25-34,Millennial,0877827638,90801586-1434,9195,2022-12-21
M000003,Patricia,Davis,F,1968-10-28,55+,Gen X,0810872248,31429110-7924,5574,2023-03-07
M000004,Jennifer,Johnson,F,1982-01-26,35-44,Millennial,0858181396,56164955-5333,711,2024-09-04
M000005,Jennifer,Rodriguez,F,1987-04-28,35-44,Millennial,0893016315,58537831-4150,1139,2021-11-08
M000006,Jennifer,Anderson,F,1992-01-22,25-34,Millennial,0861019678,47308985-8428,5977,2022-06-12
M000007,Matthew,Jones,M,1961-04-06,55+,Boomer,0896977837,19583482-3803,8751,2022-03-15
M000008,Elizabeth,Hernandez,F,1961-06-09,55+,Boomer,0839476249,53524491-1916,3752,2021-06-13
M000009,Jennifer,Brown,F,1969-10-09,55+,Gen X,0838538251,97971488-9179,6482,2024-03-09
M000010,James,Lopez,M,1970-06-17,55+,Gen X,0845264581,88461803-8019,9560,2024-06-08
M000011,Christopher,Davis,M,2001-02-15,25-34,Gen Z,0824716857,30514014-3621,6916,2025-02-13
M000012,Nancy,Davis,F,1972-11-10,45-54,Gen X,0884252722,11540956-2876,8797,2023-11-11
M000013,Robert,Miller,M,1995-07-24,25-34,Millennial,0810435578,45351479-9201,2927,2025-02-28
M000014,Lisa,Rodriguez,F,1967-12-09,55+,Gen X,0830513739,60185867-3646,8837,2025-01-20
M000015,Sarah,Smith,F,1998-09-08,25-34,Gen Z,0851273847,42138745-1949,3946,2025-02-03
M000016,Jennifer,Wilson,F,1972-01-14,45-54,Gen X,0827232410,98550256-8787,9007,2022-05-17
M000017,Patricia,Rodriguez,F,1961-12-09,55+,Boomer,0851837852,63551839-7118,7177,2025-08-04
M000018,James,Johnson,M,1985-03-05,35-44,Millennial,0888961459,84346088-4770,9641,2022-01-03
M000019,James,Johnson,M,2003-09-23,18-24,Gen Z,0819510312,79008866-4899,4562,2024-04-18
M000020,Anthony,Martinez,M,1969-07-20,55+,Gen X,0842614537,73481353-7669,3119,2021-02-22
M000021,Susan,Miller,F,1979-07-21,45-54,Gen X,0817270733,97705310-2612,993,2024-12-11
M000022,James,Brown,M,1993-06-12,25-34,Millennial,0870211891,28814949-7912,3006,2023-08-08
M000023,Thomas,Wilson,M,1971-01-28,55+,Gen X,0816789850,97529405-9856,241,2021-04-06
M000024,Sarah,Davis,F,1992-08-20,25-34,Millennial,0817869910,32097220-7209,35,2024-05-26
