Member_ID,Year,Snapshot_Type,Snapshot_Date,Segment,LAP_Days,Total_Txns,Total_Spend,Is_New_Member,FIRST_NAME,LAST_NAME,GENDER,Age_Range,Generation
M000001,2021,Start,2021-01-01,Never Purchased,,0,0.0,False,John,Lopez,M,35-44,Millennial
M000001,2021,End,2021-12-31,Active,23.0,9,1943.93,True,John,Lopez,M,35-44,Millennial
M000002,2021,Start,2021-01-01,Never Purchased,,0,0.0,False,John,Johnson,M,25-34,Millennial
M000002,2021,End,2021-12-31,Never Purchased,,0,0.0,False,John,Johnson,M,25-34,Millennial
M000003,2021,Start,2021-01-01,Never Purchased,,0,0.0,False,Patricia,Davis,F,55+,Gen X
M000003,2021,End,2021-12-31,Never Purchased,,0,0.0,False,Patricia,Davis,F,55+,Gen X
M000004,2021,Start,2021-01-01,Never Purchased,,0,0.0,False,Jennifer,Johnson,F,35-44,Millennial
M000004,2021,End,2021-12-31,Never Purchased,,0,0.0,False,Jennifer,Johnson,F,35-44,Millennial
M000005,2021,Start,2021-01-01,Never Purchased,,0,0.0,False,Jennifer,Rodriguez,F,35-44,Millennial
M000005,2021,End,2021-12-31,Active,17.0,4,274.19,True,Jennifer,Rodriguez,F,35-44,Millennial
M000006,2021,Start,2021-01-01,Never Purchased,,0,0.0,False,Jennifer,Anderson,F,25-34,Millennial
M000006,2021,End,2021-12-31,Never Purchased,,0,0.0,False,Jennifer,Anderson,F,25-34,Millennial
M000007,2021,Start,2021-01-01,Never Purchased,,0,0.0,False,Matthew,Jones,M,55+,Boomer
M000007,2021,End,2021-12-31,Never Purchased,,0,0.0,False,Matthew,Jones,M,55+,Boomer
M000008,2021,Start,2021-01-01,Never Purchased,,0,0.0,False,Elizabeth,Hernandez,F,55+,Boomer
M000008,2021,End,2021-12-31,Active,6.0,14,2606.64,True,Elizabeth,Hernandez,F,55+,Boomer
M000009,2021,Start,2021-01-01,Never Purchased,,0,0.0,False,Jennifer,Brown,F,55+,Gen X
M000009,2021,End,2021-12-31,Never Purchased,,0,0.0,False,Jennifer,Brown,F,55+,Gen X
M000010,2021,Start,2021-01-01,Never Purchased,,0,0.0,False,James,Lopez,M,55+,Gen X
M000010,2021,End,2021-12-31,Never Purchased,,0,0.0,False,James,Lopez,M,55+,Gen X
M000011,2021,Start,2021-01-01,Never Purchased,,0,0.0,False,Christopher,Davis,M,25-34,Gen Z
M000011,2021,End,2021-12-31,Never Purchased,,0,0.0,False,Christopher,Davis,M,25-34,Gen Z
M000012,2021,Start,2021-01-01,Never Purchased,,0,0.0,False,Nancy,Davis,F,45-54,Gen X
M000012,2021,End,2021-12-31,Never Purchased,,0,0.0,False,Nancy,Davis,F,45-54,Gen X
M000013,2021,Start,2021-01-01,Never Purchased,,0,0.0,False,Robert,Miller,M,25-34,Millennial
M000013,2021,End,2021-12-31,Never Purchased,,0,0.0,False,Robert,Miller,M,25-34,Millennial
M000014,2021,Start,2021-01-01,Never Purchased,,0,0.0,False,Lisa,Rodriguez,F,55+,Gen X
M000014,2021,End,2021-12-31,Never Purchased,,0,0.0,False,Lisa,Rodriguez,F,55+,Gen X
M000015,2021,Start,2021-01-01,Never Purchased,,0,0.0,False,Sarah,Smith,F,25-34,Gen Z
M000015,2021,End,2021-12-31,Never Purchased,,0,0.0,False,Sarah,Smith,F,25-34,Gen Z
M000016,2021,Start,2021-01-01,Never Purchased,,0,0.0,False,Jennifer,Wilson,F,45-54,Gen X
M000016,2021,End,2021-12-31,Never Purchased,,0,0.0,False,Jennifer,Wilson,F,45-54,Gen X
M000017,2021,Start,2021-01-01,Never Purchased,,0,0.0,False,Patricia,Rodriguez,F,55+,Boomer
M000017,2021,End,2021-12-31,Never Purchased,,0,0.0,False,Patricia,Rodriguez,F,55+,Boomer
M000018,2021,Start,2021-01-01,Never Purchased,,0,0.0,False,James,Johnson,M,35-44,Millennial
M000018,2021,End,2021-12-31,Never Purchased,,0,0.0,False,James,Johnson,M,35-44,Millennial
M000019,2021,Start,2021-01-01,Never Purchased,,0,0.0,False,James,Johnson,M,18-24,Gen Z
M000019,2021,End,2021-12-31,Never Purchased,,0,0.0,False,James,Johnson,M,18-24,Gen Z
M000020,2021,Start,2021-01-01,Never Purchased,,0,0.0,False,Anthony,Martinez,M,55+,Gen X
M000020,2021,End,2021-12-31,Active,12.0,3,504.46,True,Anthony,Martinez,M,55+,Gen X
M000021,2021,Start,2021-01-01,Never Purchased,,0,0.0,False,Susan,Miller,F,45-54,Gen X
M000021,2021,End,2021-12-31,Never Purchased,,0,0.0,False,Susan,Miller,F,45-54,Gen X
M000022,2021,Start,2021-01-01,Never Purchased,,0,0.0,False,James,Brown,M,25-34,Millennial
M000022,2021,End,2021-12-31,Never Purchased,,0,0.0,False,James,Brown,M,25-34,Millennial
M000023,2021,Start,2021-01-01,Never Purchased,,0,0.0,False,Thomas,Wilson,M,55+,Gen X
M000023,2021,End,2021-12-31,Active,13.0,1,105.71,True,Thomas,Wilson,M,55+,Gen X
M000024,2021,Start,2021-01-01,Never Purchased,,0,0.0,False,Sarah,Davis,F,25-34,Millennial
M000024,2021,End,2021-12-31,Never Purchased,,0,0.0,False,Sarah,Davis,F,25-34,Millennial
M000025,2021,Start,2021-01-01,Never Purchased,,0,0.0,False,Elizabeth,Miller,F,55+,Boomer
M000025,2021,End,2021-12-31,Never Purchased,,0,0.0,False,Elizabeth,Miller,F,55+,Boomer
M000026,2021,Start,2021-01-01,Never Purchased,,0,0.0,False,Anthony,Garcia,M,18-24,Gen Z
M000026,2021,End,2021-12-31,Never Purchased,,0,0.0,False,Anthony,Garcia,M,18-24,Gen Z
M000027,2021,Start,2021-01-01,Never Purchased,,0,0.0,False,David,Johnson,M,55+,Gen X
M000027,2021,End,2021-12-31,Never Purchased,,0,0.0,False,David,Johnson,M,55+,Gen X
M000028,2021,Start,2021-01-01,Never Purchased,,0,0.0,False,Daniel,Johnson,M,45-54,Gen X
M000028,2021,End,2021-12-31,Never Purchased,,0,0.0,False,Daniel,Johnson,M,45-54,Gen X
M000029,2021,Start,2021-01-01,Never Purchased,,0,0.0,False,Patricia,Jones,F,45-54,Millennial
M000029,2021,End,2021-12-31,Active,25.0,7,448.09,True,Patricia,Jones,F,45-54,Millennial
M000030,2021,Start,2021-01-01,Never Purchased,,0,0.0,False,Michael,Rodriguez,M,25-34,Millennial
M000030,2021,End,2021-12-31,Never Purchased,,0,0.0,False,Michael,Rodriguez,M,25-34,Millennial
M000031,2021,Start,2021-01-01,Never Purchased,,0,0.0,False,Thomas,Anderson,M,45-54,Gen X
M000031,2021,End,2021-12-31,Never Purchased,,0,0.0,False,Thomas,Anderson,M,45-54,Gen X
M000032,2021,Start,2021-01-01,Never Purchased,,0,0.0,False,David,Jones,M,25-34,Gen Z
M000032,2021,End,2021-12-31,Never Purchased,,0,0.0,False,David,Jones,M,25-34,Gen Z
M000033,2021,Start,2021-01-01,Never Purchased,,0,0.0,False,Patricia,Hernandez,F,55+,Gen X
M000033,2021,End,2021-12-31,Active,9.0,5,442.61,True,Patricia,Hernandez,F,55+,Gen X
M000034,2021,Start,2021-01-01,Never Purchased,,0,0.0,False,Mary,Smith,F,35-44,Millennial
M000034,2021,End,2021-12-31,Never Purchased,,0,0.0,False,Mary,Smith,F,35-44,Millennial
M000035,2021,Start,2021-01-01,Never Purchased,,0,0.0,False,Michael,Johnson,M,55+,Boomer
M000035,2021,End,2021-12-31,Never Purchased,,0,0.0,False,Michael,Johnson,M,55+,Boomer
M000036,2021,Start,2021-01-01,Never Purchased,,0,0.0,False,John,Jones,M,35-44,Millennial
M000036,2021,End,2021-12-31,Never Purchased,,0,0.0,False,John,Jones,M,35-44,Millennial
M000037,2021,Start,2021-01-01,Never Purchased,,0,0.0,False,Nancy,Lopez,F,25-34,Millennial
M000037,2021,End,2021-12-31,Never Purchased,,0,0.0,False,Nancy,Lopez,F,25-34,Millennial
M000038,2021,Start,2021-01-01,Never Purchased,,0,0.0,False,Margaret,Hernandez,F,35-44,Millennial
M000038,2021,End,2021-12-31,Never Purchased,,0,0.0,False,Margaret,Hernandez,F,35-44,Millennial
M000039,2021,Start,2021-01-01,Never Purchased,,0,0.0,False,Susan,Jones,F,25-34,Millennial
M000039,2021,End,2021-12-31,Never Purchased,,0,0.0,False,Susan,Jones,F,25-34,Millennial
M000040,2021,Start,2021-01-01,Never Purchased,,0,0.0,False,Mark,Jones,M,35-44,Millennial
M000040,2021,End,2021-12-31,Active,12.0,9,1594.29,True,Mark,Jones,M,35-44,Millennial
M000041,2021,Start,2021-01-01,Never Purchased,,0,0.0,False,Daniel,Jones,M,18-24,Gen Z
M000041,2021,End,2021-12-31,Never Purchased,,0,0.0,False,Daniel,Jones,M,18-24,Gen Z
M000042,2021,Start,2021-01-01,Never Purchased,,0,0.0,False,Richard,Martinez,M,25-34,Millennial
M000042,2021,End,2021-12-31,Never Purchased,,0,0.0,False,Richard,Martinez,M,25-34,Millennial
M000043,2021,Start,2021-01-01,Never Purchased,,0,0.0,False,William,Miller,M,18-24,Gen Z
M000043,2021,End,2021-12-31,Never Purchased,,0,0.0,False,William,Miller,M,18-24,Gen Z
M000044,2021,Start,2021-01-01,Never Purchased,,0,0.0,False,Susan,Miller,F,55+,Boomer
M000044,2021,End,2021-12-31,Never Purchased,,0,0.0,False,Susan,Miller,F,55+,Boomer
M000045,2021,Start,2021-01-01,Never Purchased,,0,0.0,False,Daniel,Martinez,M,35-44,Millennial
M000045,2021,End,2021-12-31,Never Purchased,,0,0.0,False,Daniel,Martinez,M,35-44,Millennial
M000046,2021,Start,2021-01-01,Never Purchased,,0,0.0,False,Sarah,Davis,F,45-54,Gen X
M000046,2021,End,2021-12-31,Active,13.0,5,590.76,True,Sarah,Davis,F,45-54,Gen X
M000047,2021,Start,2021-01-01,Never Purchased,,0,0.0,False,Jennifer,Anderson,F,35-44,Millennial
M000047,2021,End,2021-12-31,Active,20.0,5,387.17,True,Jennifer,Anderson,F,35-44,Millennial
M000048,2021,Start,2021-01-01,Never Purchased,,0,0.0,False,Nancy,Anderson,F,18-24,Gen Z
M000048,2021,End,2021-12-31,Never Purchased,,0,0.0,False,Nancy,Anderson,F,18-24,Gen Z
M000049,2021,Start,2021-01-01,Never Purchased,,0,0.0,False,Matthew,Lopez,M,18-24,Gen Z
M000049,2021,End,2021-12-31,Never Purchased,,0,0.0,False,Matthew,Lopez,M,18-24,Gen Z
M000050,2021,Start,2021-01-01,Never Purchased,,0,0.0,False,Michael,Davis,M,25-34,Gen Z
M000050,2021,End,2021-12-31,Never Purchased,,0,0.0,False,Michael,Davis,M,25-34,Gen Z
