Member_ID,YEAR,YEAR_SORT,TotalSpend,TotalQty,TotalTxn,MaxSaleDate,FirstPurchaseDate,Point_Range,Total_point,GENDER,Generation,MOBILE_NO,FIRST_NAME,LAST_NAME,BIRTHDATE,UUID,Age_Range,Year_End,Mode_ProductCategory,Cumulative_TotalTxn,Active_Years_Count,Cumulative_Last_Txn,LAP_Days,Recency_Text
M000001,2021,2021,1943.93,18.0,9.0,2021-12-08,2021-10-14,"5,001+",8935,M,Millennial,839958838,John,Lopez,1988-11-09,28728463-2679,35-44,2021-12-31,Dessert,9,1,2021-12-08,23.0,Active
M000001,2022,2022,1130.75,24.0,8.0,2022-12-03,2021-10-14,"5,001+",8935,M,Millennial,839958838,John,Lopez,1988-11-09,28728463-2679,35-44,2022-12-31,Sandwich,17,2,2022-12-03,28.0,Active
M000001,2023,2023,1123.06,8.0,8.0,2023-12-09,2021-10-14,"5,001+",8935,M,Millennial,839958838,John,Lopez,1988-11-09,28728463-2679,35-44,2023-12-31,Dessert,25,3,2023-12-09,22.0,Active
M000001,2024,2024,668.23,30.0,10.0,2024-12-03,2021-10-14,"5,001+",8935,M,Millennial,839958838,John,Lopez,1988-11-09,28728463-2679,35-44,2024-12-31,Beverage,35,4,2024-12-03,28.0,Active
M000001,2025,2025,485.61,7.0,7.0,2025-03-25,2021-10-14,"5,001+",8935,M,Millennial,839958838,John,Lopez,1988-11-09,28728463-2679,35-44,2025-03-28,Merchandise,42,5,2025-03-25,3.0,Active
M000002,2021,2021,0.0,0.0,0.0,,2022-12-21,"5,001+",9195,M,Millennial,877827638,John,Johnson,1992-11-14,90801586-1434,25-34,2021-12-31,,0,0,,,Never Purchased
M000002,2022,2022,1789.48,66.0,33.0,2022-12-22,2022-12-21,"5,001+",9195,M,Millennial,877827638,John,Johnson,1992-11-14,90801586-1434,25-34,2022-12-31,Coffee,33,1,2022-12-22,9.0,Active
M000002,2023,2023,9478.13,96.0,32.0,2023-12-19,2022-12-21,"5,001+",9195,M,Millennial,877827638,John,Johnson,1992-11-14,90801586-1434,25-34,2023-12-31,Sandwich,65,2,2023-12-19,12.0,Active
M000002,2024,2024,8792.47,70.0,35.0,2024-12-02,2022-12-21,"5,001+",9195,M,Millennial,877827638,John,Johnson,1992-11-14,90801586-1434,25-34,2024-12-31,Beverage,100,3,2024-12-02,29.0,Active
M000002,2025,2025,2454.3,45.0,45.0,2025-03-06,2022-12-21,"5,001+",9195,M,Millennial,877827638,John,Johnson,1992-11-14,90801586-1434,25-34,2025-03-28,Beverage,145,4,2025-03-06,22.0,Active
M000003,2021,2021,0.0,0.0,0.0,,2023-03-07,"5,001+",5574,F,Gen X,810872248,Patricia,Davis,1968-10-28,31429110-7924,55+,2021-12-31,,0,0,,,Never Purchased
M000003,2022,2022,0.0,0.0,0.0,,2023-03-07,"5,001+",5574,F,Gen X,810872248,Patricia,Davis,1968-10-28,31429110-7924,55+,2022-12-31,,0,0,,,Never Purchased
M000003,2023,2023,1355.6,20.0,20.0,2023-12-28,2023-03-07,"5,001+",5574,F,Gen X,810872248,Patricia,Davis,1968-10-28,31429110-7924,55+,2023-12-31,Merchandise,20,1,2023-12-28,3.0,Active
M000003,2024,2024,2584.9,36.0,12.0,2024-12-05,2023-03-07,"5,001+",5574,F,Gen X,810872248,Patricia,Davis,1968-10-28,31429110-7924,55+,2024-12-31,Sandwich,32,2,2024-12-05,26.0,Active
M000003,2025,2025,0.0,0.0,0.0,,2023-03-07,"5,001+",5574,F,Gen X,810872248,Patricia,Davis,1968-10-28,31429110-7924,55+,2025-03-28,,32,2,2024-12-05,113.0,At Risk
M000004,2021,2021,0.0,0.0,0.0,,2024-09-04,"501-1,000",711,F,Millennial,858181396,Jennifer,Johnson,1982-01-26,56164955-5333,35-44,2021-12-31,,0,0,,,Never Purchased
M000004,2022,2022,0.0,0.0,0.0,,2024-09-04,"501-1,000",711,F,Millennial,858181396,Jennifer,Johnson,1982-01-26,56164955-5333,35-44,2022-12-31,,0,0,,,Never Purchased
M000004,2023,2023,0.0,0.0,0.0,,2024-09-04,"501-1,000",711,F,Millennial,858181396,Jennifer,Johnson,1982-01-26,56164955-5333,35-44,2023-12-31,,0,0,,,Never Purchased
M000004,2024,2024,2764.84,20.0,10.0,2024-12-20,2024-09-04,"501-1,000",711,F,Millennial,858181396,Jennifer,Johnson,1982-01-26,56164955-5333,35-44,2024-12-31,Beverage,10,1,2024-12-20,11.0,Active
M000004,2025,2025,1471.28,27.0,9.0,2025-03-02,2024-09-04,"501-1,000",711,F,Millennial,858181396,Jennifer,Johnson,1982-01-26,56164955-5333,35-44,2025-03-28,Dessert,19,2,2025-03-02,26.0,Active
M000005,2021,2021,274.19,4.0,4.0,2021-12-14,2021-11-08,"1,001-2,000",1139,F,Millennial,893016315,Jennifer,Rodriguez,1987-04-28,58537831-4150,35-44,2021-12-31,Beverage,4,1,2021-12-14,17.0,Active
M000005,2022,2022,498.94,2.0,2.0,2022-12-25,2021-11-08,"1,001-2,000",1139,F,Millennial,893016315,Jennifer,Rodriguez,1987-04-28,58537831-4150,35-44,2022-12-31,Pastry,6,2,2022-12-25,6.0,Active
M000005,2023,2023,0.0,0.0,0.0,,2021-11-08,"1,001-2,000",1139,F,Millennial,893016315,Jennifer,Rodriguez,1987-04-28,58537831-4150,35-44,2023-12-31,,6,2,2022-12-25,371.0,Dormant
M000005,2024,2024,289.79,2.0,1.0,2024-12-23,2021-11-08,"1,001-2,000",1139,F,Millennial,893016315,Jennifer,Rodriguez,1987-04-28,58537831-4150,35-44,2024-12-31,Dessert,7,3,2024-12-23,8.0,Active
M000005,2025,2025,843.94,15.0,5.0,2025-03-18,2021-11-08,"1,001-2,000",1139,F,Millennial,893016315,Jennifer,Rodriguez,1987-04-28,58537831-4150,35-44,2025-03-28,Beverage,12,4,2025-03-18,10.0,Active
M000006,2021,2021,0.0,0.0,0.0,,2022-06-12,"5,001+",5977,F,Millennial,861019678,Jennifer,Anderson,1992-01-22,47308985-8428,25-34,2021-12-31,,0,0,,,Never Purchased
M000006,2022,2022,442.47,6.0,2.0,2022-12-23,2022-06-12,"5,001+",5977,F,Millennial,861019678,Jennifer,Anderson,1992-01-22,47308985-8428,25-34,2022-12-31,Merchandise,2,1,2022-12-23,8.0,Active
M000006,2023,2023,72.92,3.0,1.0,2023-12-25,2022-06-12,"5,001+",5977,F,Millennial,861019678,Jennifer,Anderson,1992-01-22,47308985-8428,25-34,2023-12-31,Beverage,3,2,2023-12-25,6.0,Active
M000006,2024,2024,576.91,2.0,2.0,2024-12-22,2022-06-12,"5,001+",5977,F,Millennial,861019678,Jennifer,Anderson,1992-01-22,47308985-8428,25-34,2024-12-31,Merchandise,5,3,2024-12-22,9.0,Active
M000006,2025,2025,324.88,3.0,3.0,2025-03-05,2022-06-12,"5,001+",5977,F,Millennial,861019678,Jennifer,Anderson,1992-01-22,47308985-8428,25-34,2025-03-28,Coffee,8,4,2025-03-05,23.0,Active
M000007,2021,2021,0.0,0.0,0.0,,2022-03-15,"5,001+",8751,M,Boomer,896977837,Matthew,Jones,1961-04-06,19583482-3803,55+,2021-12-31,,0,0,,,Never Purchased
M000007,2022,2022,689.97,5.0,5.0,2022-12-01,2022-03-15,"5,001+",8751,M,Boomer,896977837,Matthew,Jones,1961-04-06,19583482-3803,55+,2022-12-31,Sandwich,5,1,2022-12-01,30.0,Active
M000007,2023,2023,1193.19,8.0,4.0,2023-12-19,2022-03-15,"5,001+",8751,M,Boomer,896977837,Matthew,Jones,1961-04-06,19583482-3803,55+,2023-12-31,Merchandise,9,2,2023-12-19,12.0,Active
M000007,2024,2024,155.17,6.0,3.0,2024-12-02,2022-03-15,"5,001+",8751,M,Boomer,896977837,Matthew,Jones,1961-04-06,19583482-3803,55+,2024-12-31,Coffee,12,3,2024-12-02,29.0,Active
M000007,2025,2025,0.0,0.0,0.0,,2022-03-15,"5,001+",8751,M,Boomer,896977837,Matthew,Jones,1961-04-06,19583482-3803,55+,2025-03-28,,12,3,2024-12-02,116.0,At Risk
M000008,2021,2021,2606.64,28.0,14.0,2021-12-25,2021-06-13,"2,001-5,000",3752,F,Boomer,839476249,Elizabeth,Hernandez,1961-06-09,53524491-1916,55+,2021-12-31,Beverage,14,1,2021-12-25,6.0,Active
M000008,2022,2022,2267.39,42.0,14.0,2022-12-15,2021-06-13,"2,001-5,000",3752,F,Boomer,839476249,Elizabeth,Hernandez,1961-06-09,53524491-1916,55+,2022-12-31,Sandwich,28,2,2022-12-15,16.0,Active
M000008,2023,2023,2794.59,22.0,11.0,2023-12-13,2021-06-13,"2,001-5,000",3752,F,Boomer,839476249,Elizabeth,Hernandez,1961-06-09,53524491-1916,55+,2023-12-31,Sandwich,39,3,2023-12-13,18.0,Active
M000008,2024,2024,2644.75,20.0,10.0,2024-12-02,2021-06-13,"2,001-5,000",3752,F,Boomer,839476249,Elizabeth,Hernandez,1961-06-09,53524491-1916,55+,2024-12-31,Coffee,49,4,2024-12-02,29.0,Active
M000008,2025,2025,3371.37,30.0,15.0,2025-03-16,2021-06-13,"2,001-5,000",3752,F,Boomer,839476249,Elizabeth,Hernandez,1961-06-09,53524491-1916,55+,2025-03-28,Pastry,64,5,2025-03-16,12.0,Active
M000009,2021,2021,0.0,0.0,0.0,,2024-03-09,"5,001+",6482,F,Gen X,838538251,Jennifer,Brown,1969-10-09,97971488-9179,55+,2021-12-31,,0,0,,,Never Purchased
M000009,2022,2022,0.0,0.0,0.0,,2024-03-09,"5,001+",6482,F,Gen X,838538251,Jennifer,Brown,1969-10-09,97971488-9179,55+,2022-12-31,,0,0,,,Never Purchased
M000009,2023,2023,0.0,0.0,0.0,,2024-03-09,"5,001+",6482,F,Gen X,838538251,Jennifer,Brown,1969-10-09,97971488-9179,55+,2023-12-31,,0,0,,,Never Purchased
M000009,2024,2024,0.0,0.0,0.0,,2024-03-09,"5,001+",6482,F,Gen X,838538251,Jennifer,Brown,1969-10-09,97971488-9179,55+,2024-12-31,,0,0,,,Never Purchased
M000009,2025,2025,1837.03,18.0,9.0,2025-03-15,2024-03-09,"5,001+",6482,F,Gen X,838538251,Jennifer,Brown,1969-10-09,97971488-9179,55+,2025-03-28,Beverage,9,1,2025-03-15,13.0,Active
M000010,2021,2021,0.0,0.0,0.0,,2024-06-08,"5,001+",9560,M,Gen X,845264581,James,Lopez,1970-06-17,88461803-8019,55+,2021-12-31,,0,0,,,Never Purchased
M000010,2022,2022,0.0,0.0,0.0,,2024-06-08,"5,001+",9560,M,Gen X,845264581,James,Lopez,1970-06-17,88461803-8019,55+,2022-12-31,,0,0,,,Never Purchased
