transaction_id,transaction_date,transaction_time,customer_id,customer_name,id_card,passport,email,phone,business_unit,store_location,product_name,product_category,quantity,unit_price,subtotal,discount,total_amount,payment_method,status
TXN00000816,2025-03-05,16:06,CUST001172,Sakchai Paiboon,0535063985414,AP9934538,sakchai.paiboon773@outlook.com,0814978289,Jaymart Mobile,Chiang Mai Central,Mobile Insurance,Electronics,1,24788.18,24788.18,3718.23,21069.95,Debit Card,Completed
TXN00004923,2025-03-05,15:33,CUST000660,Sakchai Suksawat,3950227715369,HF0915012,sakchai.suksawat32@outlook.com,0668680965,Jaymart Mobile,Phuket - Patong,Apple Watch,Electronics,1,709.49,709.49,70.95,638.54,Credit Card,Completed
TXN00002862,2025-03-05,14:37,CUST000918,Ladda Chaiyaporn,2692795472393,GY8906515,ladda.chaiyaporn433@hotmail.com,0832518105,Jaymart Mobile,Bangkok - Sukhumvit,Apple Watch,Electronics,2,16898.37,33796.74,1689.84,32106.899999999998,Debit Card,Completed
TXN00003958,2025-03-05,18:04,CUST000183,Naphat Boonsong,2916285856895,,naphat.boonsong587@gmail.com,0895586950,Casa Lapin,Pattaya Center,Latte,F&B,1,162.1,162.1,16.21,145.89,Credit Card,Completed
TXN00001667,2025-03-05,12:07,CUST001423,Yuttana Phonpakdee,7734655992784,,yuttana.phonpakdee594@yahoo.com,0828100111,Casa Lapin,Bangkok - Sukhumvit,Espresso,F&B,1,168.47,168.47,8.42,160.05,Credit Card,Completed
TXN00004175,2025-03-05,09:35,CUST000378,Somchai Yongyut,0635097618935,NS0012019,somchai.yongyut193@outlook.com,0635067142,Casa Lapin,Pattaya Center,Smoothie,F&B,1,407.21,407.21,40.72,366.49,Debit Card,Completed
TXN00002939,2025-03-05,20:56,CUST000313,Chaiya Kritsana,0680029380520,ZK0087169,chaiya.kritsana373@yahoo.com,0625792090,Casa Lapin,Bangkok - Silom,Coffee Beans,F&B,1,189.57,189.57,9.48,180.09,Bank Transfer,Pending
TXN00001583,2025-03-05,18:08,CUST000308,Warit Worawut,1333163543469,AA6860543,warit.worawut160@outlook.com,0950905448,Jaymart Mobile,Phuket - Patong,Samsung Galaxy S24,Electronics,1,5697.18,5697.18,854.58,4842.6,Bank Transfer,Completed
TXN00001398,2025-03-05,11:42,CUST000851,Yuttana Thongkam,0945486003000,KZ4754247,yuttana.thongkam637@gmail.com,0952423524,Jaymart Mobile,Bangkok - Thonglor,Samsung Tablet,Electronics,2,26033.98,52067.96,0.0,52067.96,Debit Card,Completed
TXN00003137,2025-03-05,14:16,CUST000692,Prasert Chatchai,4919705645313,XB1727240,prasert.chatchai716@outlook.com,0946236538,Jaymart Mobile,Bangkok - Silom,iPad Pro,Electronics,1,25670.65,25670.65,0.0,25670.65,Bank Transfer,Completed
TXN00000464,2025-03-05,13:58,CUST000848,Naphat Thongkam,3765510417093,SJ5002944,naphat.thongkam48@outlook.com,0955849180,Jaymart Mobile,Bangkok - Thonglor,Phone Accessories,Electronics,1,46228.88,46228.88,0.0,46228.88,Bank Transfer,Completed
TXN00004295,2025-03-05,11:54,CUST001039,Apinya Chatchai,8733003818485,BD9942509,apinya.chatchai21@yahoo.com,0953880534,Casa Lapin,Chiang Mai Central,Espresso,F&B,1,282.53,282.53,14.13,268.4,Debit Card,Completed
TXN00001382,2025-03-05,15:49,CUST001297,Tawan Rattana,1778968327937,JI9199484,tawan.rattana566@yahoo.com,0912445411,Casa Lapin,Bangkok - Sukhumvit,Cake,F&B,1,499.67,499.67,24.98,474.69,QR Payment,Completed
TXN00002812,2025-03-05,09:52,CUST001061,Ratchanee Anucha,4787271814812,,ratchanee.anucha715@yahoo.com,0961311950,Jaymart Mobile,Bangkok - Thonglor,AirPods Pro,Electronics,1,17275.59,17275.59,2591.34,14684.25,QR Payment,Completed
TXN00000271,2025-03-05,12:46,CUST001383,Yuttana Boonsong,0675367453109,,yuttana.boonsong526@yahoo.com,0676875274,Jaymart Mobile,Bangkok - Sukhumvit,iPad Pro,Electronics,1,49169.12,49169.12,2458.46,46710.66,Credit Card,Completed
TXN00000439,2025-03-05,10:41,CUST000488,Warit Boonsong,7187866200848,DE4357862,warit.boonsong133@gmail.com,0987766128,Jaymart Mobile,Bangkok - Siam,Samsung Tablet,Electronics,1,12290.23,12290.23,1843.53,10446.699999999999,Credit Card,Completed
TXN00004456,2025-03-06,13:53,CUST001407,Narong Kritsana,3437141348470,LM7755076,narong.kritsana803@yahoo.com,0840308910,Jaymart Mobile,Chiang Mai Central,Samsung Galaxy S24,Electronics,1,1275.98,1275.98,63.8,1212.18,Cash,Completed
TXN00004992,2025-03-06,09:12,CUST001231,Somchai Suksawat,3395435420094,WN9518752,somchai.suksawat530@hotmail.com,0602074211,Casa Lapin,Bangkok - Silom,Smoothie,F&B,2,297.65,595.3,0.0,595.3,Bank Transfer,Completed
TXN00001072,2025-03-06,10:43,CUST000416,Yuttana Nattapong,5563023177646,,yuttana.nattapong215@outlook.com,0975163136,Casa Lapin,Pattaya Center,Americano,F&B,1,145.23,145.23,7.26,137.97,Bank Transfer,Completed
TXN00003268,2025-03-06,12:09,CUST000621,Manee Paiboon,6045497969658,,manee.paiboon252@gmail.com,0882999112,Jaymart Mobile,Chiang Mai Central,Mobile Insurance,Electronics,3,42301.36,126904.08,19035.61,107868.47,Credit Card,Completed
TXN00003596,2025-03-06,15:32,CUST000602,Somsri Suksawat,2716646285970,SM7055595,somsri.suksawat428@outlook.com,0805729908,Casa Lapin,Bangkok - Siam,Cake,F&B,1,424.43,424.43,63.66,360.77,QR Payment,Completed
TXN00001501,2025-03-06,09:55,CUST000663,Apinya Yongyut,0848792911470,,apinya.yongyut545@outlook.com,0689684041,Casa Lapin,Bangkok - Sukhumvit,Croissant,F&B,1,178.98,178.98,26.85,152.13,QR Payment,Completed
TXN00001899,2025-03-06,13:58,CUST001450,Tawan Methee,8719850396680,,tawan.methee128@hotmail.com,0870737248,Jaymart Mobile,Bangkok - Siam,Samsung Galaxy S24,Electronics,1,45140.05,45140.05,4514.01,40626.04,QR Payment,Completed
TXN00002242,2025-03-06,15:03,CUST000143,Udom Nattapong,3746251634159,,udom.nattapong494@gmail.com,0977403570,Jaymart Mobile,Bangkok - Sukhumvit,iPad Pro,Electronics,1,9854.54,9854.54,492.73,9361.810000000001,Credit Card,Completed
TXN00003626,2025-03-06,19:24,CUST000518,Orapin Kritsana,9863191562806,,orapin.kritsana329@hotmail.com,0899675716,Casa Lapin,Bangkok - Silom,Coffee Beans,F&B,1,438.55,438.55,21.93,416.62,Bank Transfer,Completed
TXN00002450,2025-03-06,14:00,CUST000315,Tawan Chaiyaporn,5621330771226,ZI7385456,tawan.chaiyaporn594@hotmail.com,0981471406,Jaymart Mobile,Bangkok - Asoke,Mobile Insurance,Electronics,1,15579.48,15579.48,1557.95,14021.529999999999,Credit Card,Completed
TXN00000166,2025-03-06,11:32,CUST000364,Prasert Suksawat,6186517290117,,prasert.suksawat451@outlook.com,0644995666,Jaymart Mobile,Pattaya Center,Samsung Tablet,Electronics,1,37682.77,37682.77,1884.14,35798.63,Cash,Completed
TXN00002170,2025-03-06,10:49,CUST000847,Naphat Rattana,9048664771567,GW0262539,naphat.rattana39@gmail.com,0893723602,Jaymart Mobile,Bangkok - Thonglor,Apple Watch,Electronics,1,25310.74,25310.74,1265.54,24045.2,QR Payment,Completed
TXN00002628,2025-03-06,13:49,CUST000157,Orapin Yongyut,7493574858584,CA1485061,orapin.yongyut356@outlook.com,0863314620,Casa Lapin,Bangkok - Sukhumvit,Croissant,F&B,1,89.3,89.3,4.46,84.84,Bank Transfer,Completed
TXN00000880,2025-03-07,13:37,CUST000951,Prasert Suksawat,7212284189640,,prasert.suksawat905@gmail.com,0623256655,Jaymart Mobile,Pattaya Center,iPhone 15 Pro,Electronics,2,39113.73,78227.46,11734.12,66493.34000000001,Credit Card,Completed
TXN00004233,2025-03-07,16:54,CUST000614,Jaturong Sanitchai,8007545243647,,jaturong.sanitchai267@yahoo.com,0668167597,Jaymart Mobile,Bangkok - Siam,iPad Pro,Electronics,2,28933.5,57867.0,5786.7,52080.3,Credit Card,Pending
TXN00001550,2025-03-07,12:43,CUST000251,Ladda Sanitchai,1523334591640,,ladda.sanitchai610@outlook.com,0622611298,Casa Lapin,Pattaya Center,Latte,F&B,1,348.03,348.03,0.0,348.03,Debit Card,Completed
TXN00004931,2025-03-07,10:10,CUST000056,Naphat Paiboon,5628536591819,DJ0641959,naphat.paiboon75@outlook.com,0922892098,Jaymart Mobile,Bangkok - Silom,Phone Accessories,Electronics,3,14761.62,44284.86,0.0,44284.86,Cash,Completed
TXN00004311,2025-03-07,08:16,CUST000614,Jaturong Sanitchai,8007545243647,,jaturong.sanitchai267@yahoo.com,0668167597,Jaymart Mobile,Bangkok - Siam,Mobile Insurance,Electronics,1,18793.02,18793.02,939.65,17853.37,QR Payment,Completed
TXN00002724,2025-03-07,14:00,CUST001472,Achara Phonpakdee,1042750744735,UQ1609531,achara.phonpakdee120@outlook.com,0684753080,Casa Lapin,Chiang Mai Central,Croissant,F&B,1,206.03,206.03,0.0,206.03,Bank Transfer,Completed
TXN00004521,2025-03-07,08:52,CUST000359,Tawan Jiraporn,1048030474472,XJ8596383,tawan.jiraporn768@gmail.com,0860268515,Casa Lapin,Bangkok - Thonglor,Coffee Beans,F&B,1,482.33,482.33,24.12,458.21,Credit Card,Completed
TXN00004490,2025-03-07,20:34,CUST000113,Niran Boonma,8467504534815,MQ3145299,niran.boonma307@gmail.com,0601567719,Jaymart Mobile,Bangkok - Siam,iPad Pro,Electronics,1,45569.31,45569.31,6835.4,38733.909999999996,QR Payment,Completed
TXN00003780,2025-03-07,20:56,CUST000355,Niran Worawut,1665490041591,QN7774139,niran.worawut411@yahoo.com,0939529869,Casa Lapin,Bangkok - Siam,Espresso,F&B,1,371.57,371.57,37.16,334.40999999999997,Bank Transfer,Completed
TXN00000108,2025-03-07,11:15,CUST000652,Apinya Nattapong,9367013614576,,apinya.nattapong455@gmail.com,0860670310,Casa Lapin,Bangkok - Asoke,Espresso,F&B,1,367.24,367.24,55.09,312.15,Bank Transfer,Completed
TXN00004719,2025-03-07,17:48,CUST000133,Jaturong Boonma,9042278305617,KW5831908,jaturong.boonma803@outlook.com,0911811059,Jaymart Mobile,Phuket - Patong,Apple Watch,Electronics,2,45757.22,91514.44,13727.17,77787.27,Cash,Pending
TXN00000017,2025-03-07,10:40,CUST000732,Somsri Chaiyaporn,1342123463524,KG3073890,somsri.chaiyaporn681@outlook.com,0946252527,Jaymart Mobile,Bangkok - Silom,iPad Pro,Electronics,1,20572.52,20572.52,1028.63,19543.89,Bank Transfer,Completed
TXN00001885,2025-03-08,18:47,CUST000071,Prasert Worawut,6779983642181,QW0201545,prasert.worawut149@hotmail.com,0680524624,Casa Lapin,Bangkok - Thonglor,Cake,F&B,1,386.41,386.41,0.0,386.41,Debit Card,Completed
TXN00001168,2025-03-08,09:22,CUST000716,Prasert Boonsong,7791117343109,XV3015303,prasert.boonsong873@gmail.com,0980114691,Casa Lapin,Bangkok - Asoke,Espresso,F&B,1,354.43,354.43,35.44,318.99,Cash,Completed
TXN00003615,2025-03-08,11:40,CUST001299,Somchai Phonpakdee,6819671459271,LE3101583,somchai.phonpakdee89@outlook.com,0851423177,Jaymart Mobile,Phuket - Patong,Samsung Tablet,Electronics,1,12179.0,12179.0,1826.85,10352.15,Credit Card,Completed
TXN00002799,2025-03-08,14:03,CUST001143,Siriporn Anucha,9045489499203,,siriporn.anucha299@hotmail.com,0983066901,Casa Lapin,Chiang Mai Central,Espresso,F&B,1,305.17,305.17,0.0,305.17,QR Payment,Completed
TXN00001841,2025-03-08,10:36,CUST001002,Naphat Jiraporn,1452438181303,SF4230200,naphat.jiraporn635@hotmail.com,0893227211,Casa Lapin,Bangkok - Thonglor,Espresso,F&B,1,388.4,388.4,19.42,368.97999999999996,QR Payment,Completed
TXN00002051,2025-03-08,16:42,CUST001110,Prasert Methee,9656889923102,WK3569878,prasert.methee730@hotmail.com,0951356972,Jaymart Mobile,Bangkok - Thonglor,Phone Accessories,Electronics,1,13756.51,13756.51,687.83,13068.68,Debit Card,Completed
TXN00000097,2025-03-08,15:53,CUST001241,Orapin Yongyut,5197428854517,,orapin.yongyut150@outlook.com,0903586274,Casa Lapin,Chiang Mai Central,Latte,F&B,2,429.53,859.06,128.86,730.1999999999999,Bank Transfer,Completed
TXN00001904,2025-03-09,10:07,CUST000328,Wanida Nattapong,6749334739073,TC3773881,wanida.nattapong307@outlook.com,0887281042,Casa Lapin,Pattaya Center,Espresso,F&B,1,165.22,165.22,8.26,156.96,QR Payment,Completed
TXN00000909,2025-03-09,12:24,CUST001419,Ladda Jiraporn,3014526211784,WR6626777,ladda.jiraporn675@yahoo.com,0977443488,Jaymart Mobile,Chiang Mai Central,Phone Accessories,Electronics,1,19656.45,19656.45,982.82,18673.63,Credit Card,Completed
TXN00000725,2025-03-09,18:43,CUST000474,Narong Rattana,3441598036479,PV3357079,narong.rattana499@outlook.com,0826891103,Casa Lapin,Bangkok - Silom,Coffee Beans,F&B,1,57.7,57.7,5.77,51.93000000000001,Credit Card,Completed
